id,lng,lat,total_2019,total_2013,difference
1921,121.425923,31.3517111,0.733297225,0.728807259,0.004489966
1922,121.4264326,31.3518266,0.663776519,0.621750499,0.04202602
1927,121.4266238,31.35207028,0.46669757,0.466781204,-8.36E-05
1928,121.4299091,31.35051847,0.735553335,0.657875373,0.077677962
1931,121.429767,31.35204994,0.646922544,0.624114843,0.022807701
1932,121.4298154,31.35152661,0.543515637,0.498554412,0.044961225
1936,121.430638,31.35285212,0.297830515,0.401794153,-0.103963638
1937,121.4311248,31.35304721,0.297661962,0.414796312,-0.11713435
1938,121.4316166,31.35322936,0.241200416,0.491286261,-0.250085845
1944,121.4268491,31.35138467,0.717103161,0.631925784,0.085177377
1947,121.4271982,31.35203657,0.418915897,0.433215535,-0.014299638
1948,121.4277089,31.35216149,0.746925404,0.668870171,0.078055233
1950,121.4287291,31.35241604,0.666403897,0.617338788,0.049065109
1951,121.4292389,31.35254547,0.712259643,0.696143105,0.016116538
1952,121.4302785,31.35097998,0.442702787,0.477152637,-0.03444985
1953,121.4303448,31.35046006,0.634201006,0.525772746,0.10842826
1954,121.4303812,31.34993658,0.44979715,0.434286245,0.015510905
1956,121.4305779,31.34898209,0.36226371,0.408437551,-0.046173841
1960,121.4351198,31.35237225,0.404748818,0.731510652,-0.326761834
1961,121.4353548,31.35190188,0.25460806,0.731500461,-0.476892401
1962,121.4355923,31.35143279,0.319383089,0.77368743,-0.454304341
1963,121.4358011,31.3509508,0.349075699,0.767971197,-0.418895498
1964,121.4361679,31.3503189,0.60443171,0.604507305,-7.56E-05
1965,121.4364078,31.34985506,0.743759921,0.693931642,0.049828279
1966,121.4366437,31.34938942,0.722104929,0.725711561,-0.003606632
1967,121.4368647,31.34891674,0.536482356,0.699797085,-0.163314729
1968,121.4353942,31.35057377,0.739780643,0.746338789,-0.006558146
1969,121.4349065,31.3503847,0.6046365,0.633222591,-0.028586091
1970,121.4344157,31.35020853,0.711408273,0.638179264,0.073229009
1971,121.4339304,31.35001322,0.688911478,0.65752345,0.031388028
1972,121.433436,31.34984572,0.68239037,0.73623948,-0.05384911
1973,121.432955,31.34964858,0.640907247,0.5427978,0.098109447
1974,121.4324683,31.34945616,0.402426803,0.374950358,0.027476445
1975,121.4319823,31.34926307,0.410880596,0.349399115,0.061481481
1976,121.4314968,31.34906546,0.477330924,0.452943186,0.024387738
1977,121.4309992,31.34890045,0.722554803,0.639868293,0.08268651
1978,121.4386937,31.35169088,0.51225473,0.328066702,0.184188028
1979,121.4382016,31.35150664,0.353984192,0.274673555,0.079310637
1980,121.4377046,31.35133831,0.259192517,0.270278282,-0.011085765
1981,121.437211,31.35117121,0.298127604,0.2815213,0.016606304
1982,121.4367255,31.35098678,0.234377605,0.342814481,-0.108436876
1983,121.4362319,31.35081005,0.242696565,0.719882479,-0.477185914
1984,121.4396616,31.35209901,0.251268869,0.277899412,-0.026630543
1985,121.440151,31.35228429,0.301725697,0.321584045,-0.019858348
1986,121.4406528,31.35242965,0.768694552,0.765387611,0.003306941
1989,121.4476586,31.34996334,0.744989719,0.712982466,0.032007253
1990,121.447903,31.34950205,0.539334241,0.425197302,0.114136939
1991,121.4481433,31.34903811,0.514376896,0.470169533,0.044207363
1992,121.4483783,31.34857184,0.253344719,0.267077462,-0.013732743
1993,121.4486047,31.34810127,0.255955028,0.323217245,-0.067262217
1994,121.4488248,31.34762844,0.281416868,0.275508606,0.005908262
2002,121.4572572,31.35022203,0.709906938,0.566891175,0.143015763
2003,121.4567578,31.35005696,0.687652753,0.521319054,0.166333699
2004,121.4562655,31.3498745,0.670590762,0.489883958,0.180706804
