id,lng,lat,beautiful_score,livelier_score,safer_score,wealthier_score,1-boring,1-depressing,total
1479,121.4957676,31.35481991,0.594174756,0.754688922,0.586512073,0.590925223,0.650783593,0.582208185,0.626548792
1480,121.4952677,31.35465828,0.546790233,0.681760022,0.570851458,0.563864551,0.602883185,0.552443123,0.586432095
1481,121.4947674,31.35449617,0.204269168,0.713124601,0.254503946,0.365151422,0.626333216,0.352304552,0.419281151
1482,121.4942621,31.35435108,0.18146662,0.647840414,0.239551091,0.340385825,0.582939939,0.33022693,0.38706847
1483,121.493771,31.35416346,0.166784731,0.594068474,0.229480236,0.331231455,0.544872501,0.31520427,0.363606945
1484,121.4932727,31.3539953,0.162681994,0.316180169,0.203598399,0.279347597,0.426827266,0.297267515,0.280983823
1485,121.4927583,31.35390127,0.175721563,0.278765211,0.221991421,0.286980034,0.391204194,0.306100977,0.2767939
1495,121.4972382,31.35424265,0.207216423,0.789015532,0.266263823,0.403744279,0.667785148,0.365963133,0.449998056
1496,121.49745,31.35376155,0.220785536,0.643142416,0.294267705,0.383317639,0.569649172,0.361257543,0.412070002
1519,121.5248479,31.35416065,0.242683801,0.441493775,0.260252405,0.318839839,0.514869277,0.353810342,0.355324907
1520,121.5252721,31.35514905,0.251280491,0.480137114,0.261844935,0.33987096,0.53765593,0.363160712,0.372325024
1525,121.525713,31.35610135,0.278572565,0.5,0.303938965,0.354065758,0.539239479,0.383996518,0.393302214
1526,121.525929,31.35657666,0.277950791,0.270748202,0.26539144,0.312599273,0.44121981,0.365908756,0.322303045
1532,121.5307886,31.35480734,0.785862715,0.41908363,0.647156837,0.593058436,0.536414253,0.648254897,0.604971795
1533,121.5306043,31.35431536,0.407592862,0.254890444,0.356022185,0.371649933,0.432493065,0.43882437,0.376912143
1535,121.5311224,31.35580302,0.281072688,0.206283667,0.252012486,0.29749005,0.401927419,0.361474422,0.300043455
1536,121.5313176,31.35628895,0.233806288,0.15302635,0.210521028,0.265734168,0.362457428,0.331217087,0.259460392
1541,121.5314821,31.35527832,0.211771449,0.532629264,0.237615192,0.322869829,0.552245007,0.342951608,0.366680392
1542,121.5320006,31.35521546,0.330664418,0.588754848,0.356705036,0.401374398,0.573701908,0.422781618,0.445663704
1544,121.5329859,31.35486053,0.263905532,0.32938918,0.256552332,0.317025926,0.471934221,0.361939918,0.333457852
1545,121.5334827,31.35469477,0.339064688,0.221892797,0.307771378,0.340352013,0.40050444,0.397990389,0.334595951
1546,121.5339578,31.35447095,0.276707564,0.356692198,0.274503953,0.322705959,0.477657767,0.371696692,0.346660689
1547,121.5344471,31.35428627,0.409812615,0.290305121,0.365680638,0.382457424,0.452903064,0.443763532,0.390820399
1558,121.5276608,31.35459534,0.242735995,0.327405718,0.220304687,0.295243548,0.48356489,0.347259286,0.319419021
1559,121.5281308,31.35435991,0.195054306,0.657716312,0.202533528,0.339613577,0.631998837,0.340934531,0.394641849
